benchmark,suite,stage,min_ms,mean_ms,std_ms,pct_total
dedisp_1600ch_1000dm_b64,dedisp,CuBLAS_FP32,10.70,10.74,0.10,
dedisp_1600ch_1000dm_b64,dedisp,CUTLASS_FP8,4.53,4.53,0.00,
dedisp_1600ch_2000dm_b128,dedisp,CuBLAS_FP32,37.43,37.50,0.04,
dedisp_1600ch_2000dm_b128,dedisp,CUTLASS_FP8,7.84,7.87,0.02,
dedisp_1600ch_2000dm_b16,dedisp,CuBLAS_FP32,11.86,11.89,0.03,
dedisp_1600ch_2000dm_b16,dedisp,CUTLASS_FP8,5.23,5.24,0.00,
dedisp_1600ch_2000dm_b256,dedisp,CuBLAS_FP32,71.88,72.05,0.19,
dedisp_1600ch_2000dm_b256,dedisp,CUTLASS_FP8,14.67,14.72,0.04,
dedisp_1600ch_2000dm_b32,dedisp,CuBLAS_FP32,12.18,12.22,0.01,
dedisp_1600ch_2000dm_b32,dedisp,CUTLASS_FP8,5.68,5.69,0.00,
dedisp_1600ch_2000dm_b64,dedisp,CuBLAS_FP32,20.33,20.37,0.04,
dedisp_1600ch_2000dm_b64,dedisp,CUTLASS_FP8,5.13,5.16,0.02,
dedisp_1600ch_2000dm_b64_pipe,dedisp,CUTLASS_FP8,5.12,5.15,0.02,
dedisp_1600ch_512dm_b64,dedisp,CuBLAS_FP32,5.92,5.93,0.01,
dedisp_1600ch_512dm_b64,dedisp,CUTLASS_FP8,2.08,2.09,0.01,
visbf_16ch_K128,visbf,herk,1.47,1.48,0.00,6.9
visbf_16ch_K128,visbf,pol_reduce,0.49,0.49,0.00,2.3
visbf_16ch_K128,visbf,img_scatter,1.81,1.81,0.00,8.5
visbf_16ch_K128,visbf,img_fft,11.78,11.80,0.01,55.0
visbf_16ch_K128,visbf,img_beam,5.29,5.29,0.01,24.7
visbf_16ch_K128,visbf,corner_turn,0.56,0.57,0.00,2.6
visbf_1ch_K128,visbf,herk,0.11,0.11,0.00,6.9
visbf_1ch_K128,visbf,pol_reduce,0.04,0.04,0.00,2.4
visbf_1ch_K128,visbf,img_scatter,0.11,0.11,0.00,7.3
visbf_1ch_K128,visbf,img_fft,0.73,0.73,0.00,47.8
visbf_1ch_K128,visbf,img_beam,0.29,0.30,0.00,19.4
visbf_1ch_K128,visbf,corner_turn,0.25,0.25,0.00,16.2
visbf_1ch_K256,visbf,herk,0.16,0.16,0.00,10.1
visbf_1ch_K256,visbf,pol_reduce,0.04,0.04,0.00,2.3
visbf_1ch_K256,visbf,img_scatter,0.11,0.11,0.00,7.1
visbf_1ch_K256,visbf,img_fft,0.72,0.72,0.00,46.0
visbf_1ch_K256,visbf,img_beam,0.30,0.30,0.00,18.8
visbf_1ch_K256,visbf,corner_turn,0.25,0.25,0.00,15.7
visbf_1ch_K64,visbf,herk,0.08,0.08,0.00,5.4
visbf_1ch_K64,visbf,pol_reduce,0.04,0.04,0.00,2.4
visbf_1ch_K64,visbf,img_scatter,0.11,0.11,0.00,7.6
visbf_1ch_K64,visbf,img_fft,0.71,0.71,0.00,48.0
visbf_1ch_K64,visbf,img_beam,0.29,0.30,0.00,20.0
visbf_1ch_K64,visbf,corner_turn,0.25,0.25,0.00,16.6
visbf_2ch_K128,visbf,herk,0.20,0.20,0.00,7.3
visbf_2ch_K128,visbf,pol_reduce,0.07,0.07,0.00,2.4
visbf_2ch_K128,visbf,img_scatter,0.21,0.21,0.00,7.8
visbf_2ch_K128,visbf,img_fft,1.41,1.41,0.00,51.6
visbf_2ch_K128,visbf,img_beam,0.60,0.60,0.00,21.9
visbf_2ch_K128,visbf,corner_turn,0.25,0.25,0.00,9.0
visbf_32ch_K128,visbf,herk,2.93,2.94,0.00,6.8
visbf_32ch_K128,visbf,pol_reduce,0.97,0.97,0.00,2.3
visbf_32ch_K128,visbf,img_scatter,3.79,3.80,0.00,8.8
visbf_32ch_K128,visbf,img_fft,23.53,23.55,0.01,54.5
visbf_32ch_K128,visbf,img_beam,10.78,10.79,0.01,25.0
visbf_32ch_K128,visbf,corner_turn,1.17,1.18,0.00,2.7
visbf_4ch_K128,visbf,herk,0.38,0.38,0.00,7.3
visbf_4ch_K128,visbf,pol_reduce,0.13,0.13,0.00,2.5
visbf_4ch_K128,visbf,img_scatter,0.41,0.42,0.00,8.0
visbf_4ch_K128,visbf,img_fft,2.79,2.80,0.01,54.0
visbf_4ch_K128,visbf,img_beam,1.21,1.21,0.00,23.4
visbf_4ch_K128,visbf,corner_turn,0.25,0.25,0.00,4.8
visbf_8ch_K128,visbf,herk,0.74,0.74,0.00,7.2
visbf_8ch_K128,visbf,pol_reduce,0.25,0.25,0.00,2.4
visbf_8ch_K128,visbf,img_scatter,0.80,0.81,0.00,7.9
visbf_8ch_K128,visbf,img_fft,5.62,5.63,0.01,54.9
visbf_8ch_K128,visbf,img_beam,2.54,2.55,0.00,24.8
visbf_8ch_K128,visbf,corner_turn,0.28,0.28,0.00,2.7
voltbf_16ch,voltbf,qc_transpose,1.70,1.75,0.05,7.7
voltbf_16ch,voltbf,gemm_pol0,5.98,6.00,0.01,26.4
voltbf_16ch,voltbf,gemm_pol1,6.25,6.26,0.01,27.5
voltbf_16ch,voltbf,time_integrate,2.65,2.69,0.03,11.8
voltbf_16ch,voltbf,corner_turn,6.04,6.05,0.01,26.6
voltbf_1ch,voltbf,qc_transpose,0.09,0.09,0.00,1.8
voltbf_1ch,voltbf,gemm_pol0,1.81,1.82,0.00,34.8
voltbf_1ch,voltbf,gemm_pol1,2.51,2.51,0.00,48.1
voltbf_1ch,voltbf,time_integrate,0.13,0.13,0.00,2.5
voltbf_1ch,voltbf,corner_turn,0.67,0.67,0.00,12.8
voltbf_2ch,voltbf,qc_transpose,0.18,0.18,0.00,1.9
voltbf_2ch,voltbf,gemm_pol0,3.55,3.56,0.00,37.2
voltbf_2ch,voltbf,gemm_pol1,4.81,4.83,0.01,50.5
voltbf_2ch,voltbf,time_integrate,0.26,0.26,0.00,2.7
voltbf_2ch,voltbf,corner_turn,0.73,0.73,0.00,7.7
voltbf_32ch,voltbf,qc_transpose,4.57,4.78,0.16,9.3
voltbf_32ch,voltbf,gemm_pol0,11.92,11.98,0.04,23.3
voltbf_32ch,voltbf,gemm_pol1,12.40,12.47,0.04,24.2
voltbf_32ch,voltbf,time_integrate,7.05,7.60,0.29,14.7
voltbf_32ch,voltbf,corner_turn,14.64,14.68,0.02,28.5
voltbf_4ch,voltbf,qc_transpose,0.37,0.38,0.00,6.9
voltbf_4ch,voltbf,gemm_pol0,1.55,1.56,0.00,28.5
voltbf_4ch,voltbf,gemm_pol1,1.62,1.63,0.00,29.7
voltbf_4ch,voltbf,time_integrate,0.54,0.54,0.00,9.9
voltbf_4ch,voltbf,corner_turn,1.37,1.37,0.00,25.0
voltbf_8ch,voltbf,qc_transpose,0.77,0.79,0.01,7.1
voltbf_8ch,voltbf,gemm_pol0,3.04,3.06,0.01,27.7
voltbf_8ch,voltbf,gemm_pol1,3.18,3.19,0.01,28.9
voltbf_8ch,voltbf,time_integrate,1.16,1.18,0.01,10.7
voltbf_8ch,voltbf,corner_turn,2.82,2.82,0.00,25.6
voltbf_M10240,voltbf,qc_transpose,0.24,0.24,0.00,1.9
voltbf_M10240,voltbf,gemm_pol0,4.43,4.44,0.01,34.8
voltbf_M10240,voltbf,gemm_pol1,6.02,6.04,0.01,47.3
voltbf_M10240,voltbf,time_integrate,0.34,0.34,0.00,2.7
voltbf_M10240,voltbf,corner_turn,1.70,1.70,0.00,13.3
voltbf_M12288,voltbf,qc_transpose,0.28,0.29,0.00,1.9
voltbf_M12288,voltbf,gemm_pol0,5.32,5.33,0.00,35.0
voltbf_M12288,voltbf,gemm_pol1,7.13,7.14,0.01,46.9
voltbf_M12288,voltbf,time_integrate,0.43,0.44,0.01,2.9
voltbf_M12288,voltbf,corner_turn,2.04,2.04,0.00,13.4
voltbf_M14336,voltbf,qc_transpose,0.33,0.34,0.00,1.9
voltbf_M14336,voltbf,gemm_pol0,6.22,6.22,0.00,35.1
voltbf_M14336,voltbf,gemm_pol1,8.24,8.28,0.01,46.7
voltbf_M14336,voltbf,time_integrate,0.49,0.49,0.00,2.8
voltbf_M14336,voltbf,corner_turn,2.38,2.38,0.00,13.4
voltbf_M16384,voltbf,qc_transpose,0.37,0.38,0.00,1.9
voltbf_M16384,voltbf,gemm_pol0,7.10,7.10,0.00,35.1
voltbf_M16384,voltbf,gemm_pol1,9.36,9.38,0.01,46.4
voltbf_M16384,voltbf,time_integrate,0.61,0.63,0.01,3.1
voltbf_M16384,voltbf,corner_turn,2.72,2.72,0.00,13.4
voltbf_M4096,voltbf,qc_transpose,0.09,0.09,0.00,1.8
voltbf_M4096,voltbf,gemm_pol0,1.82,1.83,0.00,34.7
voltbf_M4096,voltbf,gemm_pol1,2.52,2.53,0.00,48.0
voltbf_M4096,voltbf,time_integrate,0.13,0.13,0.00,2.5
voltbf_M4096,voltbf,corner_turn,0.68,0.68,0.00,13.0
voltbf_M6144,voltbf,qc_transpose,0.14,0.15,0.00,1.9
voltbf_M6144,voltbf,gemm_pol0,2.72,2.72,0.00,34.7
voltbf_M6144,voltbf,gemm_pol1,3.74,3.75,0.00,47.8
voltbf_M6144,voltbf,time_integrate,0.20,0.20,0.00,2.5
voltbf_M6144,voltbf,corner_turn,1.02,1.02,0.00,13.1
voltbf_M8192,voltbf,qc_transpose,0.18,0.19,0.00,1.8
voltbf_M8192,voltbf,gemm_pol0,3.60,3.60,0.01,34.9
voltbf_M8192,voltbf,gemm_pol1,4.89,4.91,0.01,47.5
voltbf_M8192,voltbf,time_integrate,0.27,0.28,0.00,2.7
voltbf_M8192,voltbf,corner_turn,1.36,1.36,0.00,13.2
voltbf_short_cf4,voltbf,fused_transpose_fp8,0.32,0.32,0.00,2.8
voltbf_short_cf4,voltbf,gemm_pol0,5.13,5.39,0.17,46.9
voltbf_short_cf4,voltbf,gemm_pol1,5.20,5.48,0.16,47.7
voltbf_short_cf4,voltbf,time_integrate,0.31,0.31,0.00,2.7
voltbf_short_cf8,voltbf,fused_transpose_fp8,0.32,0.32,0.00,5.1
voltbf_short_cf8,voltbf,gemm_pol0,2.76,2.81,0.03,44.5
voltbf_short_cf8,voltbf,gemm_pol1,2.82,2.87,0.03,45.5
voltbf_short_cf8,voltbf,time_integrate,0.31,0.31,0.00,4.9
voltbf_short_cf8_nb16,voltbf,fused_transpose_fp8,5.06,5.06,0.00,7.4
voltbf_short_cf8_nb16,voltbf,gemm_pol0,25.47,25.76,0.20,37.4
voltbf_short_cf8_nb16,voltbf,gemm_pol1,26.12,26.64,0.22,38.7
voltbf_short_cf8_nb16,voltbf,time_integrate,10.77,11.33,0.46,16.5
voltbf_short_cf8_nb2,voltbf,fused_transpose_fp8,0.64,0.64,0.00,7.3
voltbf_short_cf8_nb2,voltbf,gemm_pol0,3.52,3.67,0.08,42.1
voltbf_short_cf8_nb2,voltbf,gemm_pol1,3.66,3.78,0.06,43.4
voltbf_short_cf8_nb2,voltbf,time_integrate,0.61,0.62,0.00,7.1
voltbf_short_cf8_nb4,voltbf,fused_transpose_fp8,1.27,1.27,0.00,8.0
voltbf_short_cf8_nb4,voltbf,gemm_pol0,6.52,6.59,0.03,41.3
voltbf_short_cf8_nb4,voltbf,gemm_pol1,6.77,6.83,0.04,42.7
voltbf_short_cf8_nb4,voltbf,time_integrate,1.21,1.29,0.07,8.1
voltbf_short_cf8_nb8,voltbf,fused_transpose_fp8,2.53,2.53,0.00,8.0
voltbf_short_cf8_nb8,voltbf,gemm_pol0,12.59,12.69,0.09,40.0
voltbf_short_cf8_nb8,voltbf,gemm_pol1,12.97,13.09,0.07,41.3
voltbf_short_cf8_nb8,voltbf,time_integrate,2.72,3.39,0.24,10.7
voltbf_short_unfused,voltbf,qc_transpose,0.02,0.02,0.00,0.4
voltbf_short_unfused,voltbf,gemm_pol0,2.06,2.07,0.00,48.1
voltbf_short_unfused,voltbf,gemm_pol1,2.07,2.07,0.00,48.3
voltbf_short_unfused,voltbf,time_integrate,0.05,0.05,0.00,1.1
voltbf_short_unfused,voltbf,corner_turn,0.09,0.09,0.00,2.1
